,Wi-iPSC-1,Wi-iPSC-2,Wi-iPSC-3,H11-iPSC-1,H11-iPSC-2,H11-iPSC-3
ENSG00000223972,0,0,0,0,0,0
ENSG00000227232,60,39,43,82,46,49
ENSG00000278267,0,1,8,3,0,1
ENSG00000243485,0,0,1,3,1,0
ENSG00000237613,0,0,0,0,0,0
ENSG00000268020,0,0,0,0,0,0
ENSG00000240361,0,0,0,0,0,0
ENSG00000186092,0,0,0,0,0,0
ENSG00000238009,1,0,1,2,0,2
ENSG00000239945,0,0,0,0,0,0
ENSG00000233750,1,2,4,10,15,6
ENSG00000268903,55,95,84,89,112,63
ENSG00000269981,38,41,104,59,61,41
ENSG00000239906,0,0,1,0,1,0
ENSG00000241860,4,3,6,9,4,9
ENSG00000222623,0,0,0,0,0,0
ENSG00000241599,0,0,0,0,0,0
ENSG00000279928,0,2,0,1,1,0
ENSG00000279457,86,84,86,108,119,73
ENSG00000273874,0,0,0,0,0,0
ENSG00000228463,1,3,5,3,1,1
ENSG00000241670,0,0,0,0,0,0
ENSG00000236679,0,2,3,0,1,0
ENSG00000236743,0,0,0,0,0,0
ENSG00000236601,0,0,0,0,0,0
ENSG00000237094,57,22,83,55,32,35
ENSG00000269732,0,0,0,0,0,0
ENSG00000278566,0,0,0,0,0,0
ENSG00000224813,0,0,0,0,0,0
ENSG00000233653,0,0,1,0,0,0
ENSG00000250575,0,3,4,3,4,1
ENSG00000278757,0,0,0,0,0,0
ENSG00000230021,0,0,1,0,0,0
ENSG00000235146,0,0,0,0,0,0
ENSG00000225972,2,2,1,1,1,6
ENSG00000225630,121,78,239,204,166,130
ENSG00000237973,291,150,388,599,343,319
ENSG00000278791,0,0,0,0,0,0
ENSG00000229344,8,15,15,18,24,18
ENSG00000240409,4,2,9,7,4,5
ENSG00000248527,3575,2453,9289,6550,5703,5135
ENSG00000198744,4,3,17,14,6,7
ENSG00000268663,0,0,0,0,0,0
ENSG00000273547,0,0,0,0,0,0
ENSG00000283574,0,0,0,0,0,0
ENSG00000229376,0,0,4,1,0,0
ENSG00000228327,78,35,86,78,44,50
ENSG00000223181,0,0,0,0,0,0
ENSG00000229905,0,0,0,0,0,0
ENSG00000237491,6,1,31,17,9,7
ENSG00000230092,3,1,1,1,0,2
ENSG00000177757,1,0,0,0,1,0
ENSG00000228794,154,100,133,186,149,162
ENSG00000225880,9,8,16,8,14,5
ENSG00000230368,1,0,0,1,0,0
ENSG00000234711,0,0,0,0,0,0
ENSG00000283040,0,0,0,0,0,0
ENSG00000272438,3,8,4,4,2,1
ENSG00000230699,10,5,9,16,4,4
ENSG00000241180,0,0,1,2,0,0
ENSG00000223764,22,17,12,18,7,1
ENSG00000187634,38,22,5,16,18,2
ENSG00000188976,4590,2651,3153,4504,4703,5301
ENSG00000187961,341,274,572,768,483,327
ENSG00000187583,23,21,34,39,30,15
ENSG00000187642,1,11,8,7,13,9
ENSG00000272512,2,1,1,6,3,0
ENSG00000188290,170,174,58,144,97,45
ENSG00000187608,437,414,268,355,424,313
ENSG00000231702,0,0,2,0,0,0
ENSG00000224969,0,0,1,0,0,0
ENSG00000188157,9115,4132,5986,14466,7935,8565
ENSG00000242590,0,0,0,0,0,0
ENSG00000217801,23,31,30,40,34,20
ENSG00000273443,2,0,3,4,0,0
ENSG00000237330,0,0,1,1,0,0
ENSG00000131591,297,284,212,370,346,262
ENSG00000223823,0,1,2,1,0,0
ENSG00000207730,0,0,0,0,0,0
ENSG00000207607,0,0,0,0,0,0
ENSG00000198976,0,0,0,3,0,0
ENSG00000272141,2,4,6,19,12,2
ENSG00000205231,9,4,0,3,5,5
ENSG00000162571,8,9,2,5,6,3
ENSG00000186891,24,33,10,18,29,13
ENSG00000186827,4,2,0,5,0,1
ENSG00000078808,2737,2158,1868,3026,2764,2642
ENSG00000176022,1206,1012,448,1167,1282,1064
ENSG00000184163,63,56,46,46,53,26
ENSG00000260179,2,7,12,5,7,0
ENSG00000160087,1769,1413,1034,1582,1967,1925
ENSG00000230415,17,4,9,15,1,0
ENSG00000162572,55,60,101,112,44,26
ENSG00000131584,636,487,629,997,627,659
ENSG00000278073,0,0,0,0,0,0
ENSG00000169972,748,816,456,775,1101,850
ENSG00000127054,3183,2339,2138,2949,2829,2672
ENSG00000240731,17,20,37,31,20,19
ENSG00000224051,394,349,272,399,464,444
ENSG00000169962,4,7,7,9,5,2
ENSG00000107404,2489,1896,1578,2773,2478,2607
ENSG00000162576,287,318,200,413,272,147
ENSG00000175756,2959,3261,1895,2934,3925,3169
ENSG00000223663,0,0,0,0,0,0
ENSG00000221978,1589,965,1975,2401,1233,1310
ENSG00000224870,498,499,392,504,485,464
ENSG00000242485,1909,1785,1117,1662,1962,1594
ENSG00000264293,0,0,0,0,0,0
ENSG00000272455,42,66,111,101,55,51
ENSG00000235098,74,84,26,47,32,19
ENSG00000225905,4,1,0,2,3,2
ENSG00000205116,36,21,14,74,39,48
ENSG00000225285,34,37,35,52,51,38
ENSG00000179403,1787,1491,774,2175,2230,2387
ENSG00000215915,24,44,47,47,39,24
ENSG00000160072,1550,819,1259,1574,1574,2099
ENSG00000197785,2231,1759,1337,2145,2574,2536
ENSG00000205090,99,71,44,83,79,47
ENSG00000160075,4841,4563,2774,4209,5381,4265
ENSG00000215014,14,19,16,18,17,16
ENSG00000279244,0,0,0,0,0,0
ENSG00000274481,0,0,0,0,0,0
ENSG00000228594,1483,1713,897,1456,1880,1152
ENSG00000272106,98,132,142,168,123,110
ENSG00000197530,935,761,726,998,705,761
ENSG00000189409,43,32,65,76,62,29
ENSG00000248333,1603,1425,1236,1741,1860,1577
ENSG00000272004,1,1,0,2,2,0
ENSG00000189339,2019,969,1370,1860,1270,1648
ENSG00000269737,1,3,23,14,6,2
ENSG00000215914,0,0,2,10,4,2
ENSG00000008128,187,179,277,300,245,264
ENSG00000268575,19,32,72,66,60,47
ENSG00000227775,44,25,72,77,25,31
ENSG00000215790,57,55,80,97,88,93
ENSG00000008130,1834,1129,1451,1906,1667,1785
ENSG00000078369,13949,9027,8313,12636,13398,12660
ENSG00000231050,1,11,2,3,8,5
ENSG00000169885,3,5,37,10,6,3
ENSG00000178821,129,227,190,199,247,180
ENSG00000142609,6,5,5,3,3,4
ENSG00000233542,2,5,5,3,2,3
ENSG00000187730,21,27,39,27,42,27
ENSG00000226969,0,1,2,0,2,2
ENSG00000067606,1405,752,676,1137,956,904
ENSG00000271806,1,0,2,2,1,1
ENSG00000182873,51,60,68,99,55,36
ENSG00000162585,1406,1657,964,1535,1883,1382
ENSG00000234396,0,0,0,0,0,0
ENSG00000157933,3144,1804,2385,3125,3199,3423
ENSG00000116151,206,93,111,182,116,74
ENSG00000272161,1,8,0,2,2,1
ENSG00000269896,51,23,23,30,23,16
ENSG00000272420,7,7,0,4,12,5
ENSG00000157916,1508,1148,1029,1340,1403,1370
ENSG00000157911,749,428,338,621,587,538
ENSG00000149527,5,4,3,10,7,3
ENSG00000224387,0,0,0,0,0,0
ENSG00000229393,0,0,0,0,0,0
ENSG00000157881,629,342,449,662,620,515
ENSG00000197921,20,4,5,9,6,23
ENSG00000272449,37,30,35,17,32,32
ENSG00000238164,2,0,0,0,4,0
ENSG00000157873,7,0,4,2,3,4
ENSG00000225931,1,0,0,0,0,0
ENSG00000228037,0,1,0,0,0,0
ENSG00000157870,1771,1136,923,1603,1534,1816
ENSG00000142606,29,12,20,48,25,18
ENSG00000237058,12,7,5,11,11,5
ENSG00000215912,0,3,3,12,1,7
ENSG00000283259,0,0,0,0,0,0
ENSG00000233234,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,0
ENSG00000169717,0,0,0,0,0,0
ENSG00000177133,4,5,1,0,0,0
ENSG00000142611,34,13,11,15,5,12
ENSG00000283572,0,0,0,0,0,0
ENSG00000226286,0,0,0,0,0,0
ENSG00000279839,0,0,0,0,0,0
ENSG00000272235,0,0,0,0,0,0
ENSG00000130762,795,454,334,644,534,801
ENSG00000272088,1,3,0,2,3,0
ENSG00000162591,407,170,387,662,246,242
ENSG00000207776,0,0,0,0,0,2
ENSG00000238260,2,0,8,5,0,0
ENSG00000158109,1240,609,570,804,842,877
ENSG00000116213,502,392,491,546,540,485
ENSG00000078900,242,123,170,174,131,93
ENSG00000227589,0,0,1,0,0,0
ENSG00000235131,0,0,1,0,0,1
ENSG00000227372,1245,799,1131,1221,1081,952
ENSG00000276189,0,0,0,0,0,0
ENSG00000162592,6,5,16,6,3,5
ENSG00000235169,45,35,27,23,27,17
ENSG00000130764,2893,2201,2014,2396,2886,2889
ENSG00000266075,0,0,1,2,0,1
ENSG00000272153,3,7,18,12,1,5
ENSG00000116198,726,395,503,704,660,738
ENSG00000169598,186,166,197,250,274,268
ENSG00000198912,499,369,424,471,543,440
ENSG00000236423,10,7,2,5,11,7
ENSG00000233304,0,0,0,0,0,0
ENSG00000226374,0,0,0,0,0,0
ENSG00000229280,0,0,0,0,0,0
ENSG00000235054,0,0,0,0,1,1
ENSG00000227169,0,0,0,0,0,0
ENSG00000232596,0,0,0,0,0,0
ENSG00000196581,96,82,224,127,117,255
ENSG00000231510,2,0,1,1,3,5
ENSG00000260972,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0
ENSG00000236948,0,0,4,0,3,1
ENSG00000264341,0,0,0,0,0,0
ENSG00000264101,0,0,0,0,0,0
ENSG00000131697,634,374,209,685,536,396
ENSG00000069424,288,161,143,407,320,363
ENSG00000116254,128,23,137,93,44,66
ENSG00000116251,14592,12819,8498,9202,12990,9503
ENSG00000226944,5,6,3,2,8,5
ENSG00000158286,49,65,96,94,63,21
ENSG00000116237,6977,4403,4452,6720,6646,6382
ENSG00000225077,180,165,107,153,133,116
ENSG00000173673,2346,1650,578,1109,549,517
ENSG00000158292,1073,740,437,624,504,301
ENSG00000097021,3197,2964,2406,3862,5220,4157
ENSG00000271746,0,0,0,0,0,0
ENSG00000069812,42,20,70,45,23,22
ENSG00000187017,935,597,452,563,581,527
ENSG00000265392,0,0,0,0,0,0
ENSG00000231868,0,1,1,2,0,1
ENSG00000215788,131,87,269,215,107,92
ENSG00000171680,831,441,619,711,430,422
ENSG00000162408,635,738,563,681,867,842
ENSG00000253022,0,0,1,0,0,0
ENSG00000229519,1,2,1,3,1,1
ENSG00000173662,5,1,4,3,2,1
ENSG00000204859,331,349,326,384,400,281
ENSG00000162413,1057,475,662,810,777,1023
ENSG00000116273,2377,1083,1229,1657,1612,1446
ENSG00000041988,192,177,194,204,200,219
ENSG00000007923,2159,786,1314,1504,989,1486
ENSG00000228750,0,0,0,0,0,0
ENSG00000237436,14,27,19,21,30,24
ENSG00000171735,1568,1640,791,1332,1519,900
ENSG00000227950,0,0,0,0,0,0
ENSG00000237365,0,0,0,0,0,0
ENSG00000207056,0,0,0,0,1,0
ENSG00000237402,0,2,2,1,0,1
ENSG00000237728,0,0,0,0,0,0
ENSG00000225126,0,0,0,0,0,0
ENSG00000270171,4,3,21,7,5,0
ENSG00000270035,0,3,6,5,1,0
